Server_name, OS_Family, OS_name, OS_Distribution, uptime
ubuntu-2204,Linux,Debian, Ubuntu,  Linux  14:03:21 up  3:21,  1 user,  load average: 0.08, 0.07, 0.08
master,Linux,RedHat, CentOS,  Linux  14:03:21 up  3:21,  4 users,  load average: 0.16, 0.06, 0.06
